subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0010504	immunodeficiency 47	skos:exactMatch	DOID:0112002	immunodeficiency 47	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300972	LEXMATCH
MONDO:0010504	immunodeficiency 47	skos:exactMatch	DOID:0112002	immunodeficiency 47	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	immunodeficiency 47	LEXMATCH
MONDO:0010504	immunodeficiency 47	skos:exactMatch	DOID:0112002	immunodeficiency 47	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	immunodeficiency 47	LEXMATCH
MONDO:0010506	intellectual disability, X-linked 61	skos:exactMatch	DOID:0112042	Tonne-Kalscheuer syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	tonne-kalscheuer syndrome	LEXMATCH
MONDO:0010506	intellectual disability, X-linked 61	skos:exactMatch	DOID:0112042	Tonne-Kalscheuer syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx61	LEXMATCH
MONDO:0010506	intellectual disability, X-linked 61	skos:exactMatch	DOID:0112042	Tonne-Kalscheuer syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300978	LEXMATCH
MONDO:0010508	intellectual disability, X-linked 103	skos:exactMatch	DOID:0112020	non-syndromic X-linked intellectual disability 103	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx103	LEXMATCH
MONDO:0010508	intellectual disability, X-linked 103	skos:exactMatch	DOID:0112020	non-syndromic X-linked intellectual disability 103	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300982	LEXMATCH
MONDO:0010509	intellectual disability, X-linked 104	skos:exactMatch	DOID:0112018	non-syndromic X-linked intellectual disability 104	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300983	LEXMATCH
MONDO:0010509	intellectual disability, X-linked 104	skos:exactMatch	DOID:0112018	non-syndromic X-linked intellectual disability 104	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx104	LEXMATCH
MONDO:0010510	intellectual disability, X-linked 105	skos:exactMatch	DOID:0112036	non-syndromic X-linked intellectual disability 105	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx105	LEXMATCH
MONDO:0010510	intellectual disability, X-linked 105	skos:exactMatch	DOID:0112036	non-syndromic X-linked intellectual disability 105	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300984	LEXMATCH
MONDO:0010511	vas deferens, congenital bilateral aplasia of, X-linked	skos:exactMatch	DOID:0111863	X-linked congenital bilateral absence of vas deferens	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300985	LEXMATCH
MONDO:0010511	vas deferens, congenital bilateral aplasia of, X-linked	skos:exactMatch	DOID:0111863	X-linked congenital bilateral absence of vas deferens	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	cbavdx	LEXMATCH
MONDO:0010514	combined immunodeficiency due to moesin deficiency	skos:exactMatch	DOID:0112001	immunodeficiency 50	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	cid due to moesin deficiency	LEXMATCH
MONDO:0010514	combined immunodeficiency due to moesin deficiency	skos:exactMatch	DOID:0112001	immunodeficiency 50	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300988	LEXMATCH
MONDO:0010514	combined immunodeficiency due to moesin deficiency	skos:exactMatch	DOID:0112001	immunodeficiency 50	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	x-linked moesin-associated immunodeficiency	LEXMATCH
MONDO:0010514	combined immunodeficiency due to moesin deficiency	skos:exactMatch	DOID:0112001	immunodeficiency 50	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	msn-related combined immunodeficiency	LEXMATCH
MONDO:0010514	combined immunodeficiency due to moesin deficiency	skos:exactMatch	DOID:0112001	immunodeficiency 50	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	imd50	LEXMATCH
MONDO:0010514	combined immunodeficiency due to moesin deficiency	skos:exactMatch	DOID:0112001	immunodeficiency 50	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	combined immunodeficiency due to moesin deficiency	LEXMATCH
MONDO:0010514	combined immunodeficiency due to moesin deficiency	skos:exactMatch	DOID:0112001	immunodeficiency 50	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	immunodeficiency 50	LEXMATCH
MONDO:0010515	Meester-Loeys syndrome	skos:exactMatch	DOID:0111861	Meester-Loeys syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300989	LEXMATCH
MONDO:0010515	Meester-Loeys syndrome	skos:exactMatch	DOID:0111861	Meester-Loeys syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	meester-loeys syndrome	LEXMATCH
MONDO:0010515	Meester-Loeys syndrome	skos:exactMatch	DOID:0111861	Meester-Loeys syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrls	LEXMATCH
MONDO:0010515	Meester-Loeys syndrome	skos:exactMatch	DOID:0111861	Meester-Loeys syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	meester-loeys syndrome	LEXMATCH
MONDO:0010516	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	skos:exactMatch	DOID:0111859	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mfhien	LEXMATCH
MONDO:0010516	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	skos:exactMatch	DOID:0111859	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300990	LEXMATCH
MONDO:0010516	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	skos:exactMatch	DOID:0111859	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	LEXMATCH
MONDO:0010516	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	skos:exactMatch	DOID:0111859	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	LEXMATCH
MONDO:0010517	ciliary dyskinesia, primary, 36, X-linked	skos:exactMatch	DOID:0111850	primary ciliary dyskinesia 36	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	cild36	LEXMATCH
MONDO:0010517	ciliary dyskinesia, primary, 36, X-linked	skos:exactMatch	DOID:0111850	primary ciliary dyskinesia 36	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300991	LEXMATCH
MONDO:0010523	X-linked reticulate pigmentary disorder	skos:exactMatch	DOID:0111834	X-linked reticulate pigmentary disorder	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	partington disease	LEXMATCH
MONDO:0010523	X-linked reticulate pigmentary disorder	skos:exactMatch	DOID:0111834	X-linked reticulate pigmentary disorder	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:301220	LEXMATCH
MONDO:0010523	X-linked reticulate pigmentary disorder	skos:exactMatch	DOID:0111834	X-linked reticulate pigmentary disorder	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	x-linked reticulate pigmentary disorder	LEXMATCH
MONDO:0010523	X-linked reticulate pigmentary disorder	skos:exactMatch	DOID:0111834	X-linked reticulate pigmentary disorder	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	mesh:c564461	LEXMATCH
MONDO:0010523	X-linked reticulate pigmentary disorder	skos:exactMatch	DOID:0111834	X-linked reticulate pigmentary disorder	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	pdr	LEXMATCH
MONDO:0010529	X-linked spinocerebellar ataxia type 3	skos:exactMatch	DOID:0111831	X-linked spinocerebellar ataxia 3	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	mesh:c537315	LEXMATCH
MONDO:0010529	X-linked spinocerebellar ataxia type 3	skos:exactMatch	DOID:0111831	X-linked spinocerebellar ataxia 3	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:301790	LEXMATCH
MONDO:0010529	X-linked spinocerebellar ataxia type 3	skos:exactMatch	DOID:0111831	X-linked spinocerebellar ataxia 3	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	x-linked spinocerebellar ataxia type 3	LEXMATCH
