subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	subject_match_field	object_match_field	match_string	comment
MONDO:0002687	superior mesenteric artery syndrome	skos:closeMatch	Orphanet:622099	Superior mesenteric artery syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	wilkie syndrome	LEXMATCH
MONDO:0007163	episodic ataxia type 2	skos:closeMatch	Orphanet:624244	Postinfectious cerebellitis	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	apca	LEXMATCH
MONDO:0008713	acrodermatitis enteropathica	skos:closeMatch	Orphanet:622014	Autoimmune encephalitis	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	ae	LEXMATCH
MONDO:0009484	primary ciliary dyskinesia 1	skos:closeMatch	Orphanet:623626	Paraneoplastic cerebellar degeneration	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pcd	LEXMATCH
MONDO:0010604	hemophilia B	skos:closeMatch	Orphanet:617930	Hemophilia B Leyden	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	hemophilia b leyden	LEXMATCH
MONDO:0012192	permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome	skos:closeMatch	Orphanet:624268	Non-specific autoimmune cerebellar ataxia without characteristic antibodies	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	paca	LEXMATCH
MONDO:0013099	combined pituitary hormone deficiencies, genetic form	skos:closeMatch	Orphanet:95494	Combined pituitary hormone deficiencies, genetic forms	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	combined pituitary hormone deficiencies, genetic forms	LEXMATCH
MONDO:0013483	obesity, hyperphagia, and developmental delay	skos:closeMatch	Orphanet:99704	Early-onset obesity-hyperphagia-severe developmental delay syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	obhd	LEXMATCH
MONDO:0018215	paraneoplastic neurologic syndrome	skos:closeMatch	Orphanet:623626	Paraneoplastic cerebellar degeneration	semapv:LexicalMatching	oaklib	oio:hasNarrowSynonym	rdfs:label	paraneoplastic cerebellar degeneration	LEXMATCH
MONDO:0023076	eosinophilic pustular folliculitis	skos:closeMatch	Orphanet:617408	Classic eosinophilic pustular folliculitis	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	ofuji disease	LEXMATCH
MONDO:0032651	fibrosis, neurodegeneration, and cerebral angiomatosis	skos:closeMatch	Orphanet:621758	Fibrosis-neurodegeneration-cerebral angiomatosis syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	finca	LEXMATCH
