subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string
MONDO:0002063	breast papillomatosis	skos:exactMatch	DOID:1634	Unspecified	obsolete breast papillomatosis	MONDO_MAPPINGS					
MONDO:0004866	eustachian tube disorder	skos:exactMatch	DOID:9739	Unspecified	eustachian tube disease	MONDO_MAPPINGS					
MONDO:0004391	obsolete adult extraosseous chondrosarcoma	skos:exactMatch	DOID:7902	Unspecified	adult extraosseous chondrosarcoma	MONDO_MAPPINGS					
MONDO:0000800	obsolete brown shrimp allergy	skos:exactMatch	DOID:0060525	Unspecified	brown shrimp allergy	MONDO_MAPPINGS					
MONDO:0000785	obsolete peach allergy	skos:exactMatch	DOID:0060510	Unspecified	peach allergy	MONDO_MAPPINGS					
MONDO:0000588	autoimmune disorder of gastrointestinal tract	skos:exactMatch	DOID:0060031	Unspecified	autoimmune disease of gastrointestinal tract	MONDO_MAPPINGS					
MONDO:0025517	obsolete shrimp allergy	skos:exactMatch	DOID:0040001	Unspecified	shrimp allergy	MONDO_MAPPINGS					
MONDO:0000789	obsolete Atlantic cod allergy	skos:exactMatch	DOID:0060514	Unspecified	Atlantic cod allergy	MONDO_MAPPINGS					
MONDO:0000589	autoimmune disorder of musculoskeletal system	skos:exactMatch	DOID:0060032	Unspecified	autoimmune disease of musculoskeletal system	MONDO_MAPPINGS					
MONDO:0000786	obsolete plum allergy	skos:exactMatch	DOID:0060511	Unspecified	plum allergy	MONDO_MAPPINGS					
MONDO:0002488	intraductal breast neoplasm	skos:exactMatch	DOID:3013	Unspecified	intraductal breast benign neoplasm	MONDO_MAPPINGS					
MONDO:0021668	obsolete disorder involving pain	skos:exactMatch	DOID:0060164	Unspecified	pain disorder	MONDO_MAPPINGS					
MONDO:0000794	obsolete beta-lactam allergy	skos:exactMatch	DOID:0060519	Unspecified	beta-lactam allergy	MONDO_MAPPINGS					
MONDO:0004792	cancer of isthmus of fallopian tube	skos:exactMatch	DOID:9459	Unspecified	isthmus cancer	MONDO_MAPPINGS					
MONDO:0000787	obsolete tomato allergy	skos:exactMatch	DOID:0060512	Unspecified	tomato allergy	MONDO_MAPPINGS					
MONDO:0002336	obsolete inflammatory and toxic neuropathy	skos:exactMatch	DOID:2537	Unspecified	inflammatory and toxic neuropathy	MONDO_MAPPINGS					
MONDO:0005525	T-cell leukemia	skos:exactMatch	DOID:715	Unspecified	obsolete T-cell lymphoblastic leukemia/lymphoma	MONDO_MAPPINGS					
MONDO:0000772	obsolete pollen allergy	skos:exactMatch	DOID:0060497	Unspecified	pollen allergy	MONDO_MAPPINGS					
MONDO:0017138	Opitz G/BBB syndrome	skos:exactMatch	DOID:0050780	Unspecified	obsolete Opitz-GBBB syndrome	MONDO_MAPPINGS					
MONDO:0000780	obsolete apricot allergy	skos:exactMatch	DOID:0060505	Unspecified	apricot allergy	MONDO_MAPPINGS					
MONDO:0014278	immunodeficiency 18	skos:exactMatch	DOID:0060017	Unspecified	CD3epsilon deficiency	MONDO_MAPPINGS					
MONDO:0000799	obsolete crustacean allergy	skos:exactMatch	DOID:0060524	Unspecified	crustacean allergy	MONDO_MAPPINGS					
MONDO:0001254	obsolete peripheral scars of retina	skos:exactMatch	DOID:11283	Unspecified	peripheral scars of retina	MONDO_MAPPINGS					
MONDO:0000791	obsolete carp allergy	skos:exactMatch	DOID:0060516	Unspecified	carp allergy	MONDO_MAPPINGS					
MONDO:0000792	obsolete zebrafish allergy	skos:exactMatch	DOID:0060517	Unspecified	zebrafish allergy	MONDO_MAPPINGS					
MONDO:0002053	obsolete hypoglycemic coma	skos:exactMatch	DOID:1607	Unspecified	hypoglycemic coma	MONDO_MAPPINGS					
MONDO:0056804	benign neoplasm of peripheral nervous system	skos:exactMatch	DOID:0080320	Unspecified	peripheral nervous system benign neoplasm	MONDO_MAPPINGS					
MONDO:0000806	obsolete horned turban snail allergy	skos:exactMatch	DOID:0060531	Unspecified	horned turban snail allergy	MONDO_MAPPINGS					
