subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	subject_match_field	object_match_field	match_string	comment
MONDO:0003249	pineal gland cancer	skos:closeMatch	DOID:0081248	pineocytoma	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pinealoma	LEXMATCH
MONDO:0004631	tongue cancer	skos:closeMatch	DOID:0080641	tongue carcinoma	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	tongue carcinoma	LEXMATCH
MONDO:0004784	allergic asthma	skos:closeMatch	DOID:0080811	extrinsic asthma	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	atopic asthma	LEXMATCH
MONDO:0005258	autism spectrum disorder	skos:closeMatch	DOID:0060042	atypical autism	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	atypical autism	LEXMATCH
MONDO:0006279	lung sarcomatoid carcinoma	skos:closeMatch	DOID:0080777	lung sarcomatoid carcinoma	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	sarcomatoid carcinoma of the lung	LEXMATCH
MONDO:0007030	autosomal dominant Aarskog syndrome	skos:closeMatch	DOID:0111824	Aarskog syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	aarskog syndrome	LEXMATCH
MONDO:0007052	growth hormone secreting pituitary adenoma 1	skos:closeMatch	DOID:0112009	pituitary adenoma 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pita1	LEXMATCH
MONDO:0007052	growth hormone secreting pituitary adenoma 1	skos:closeMatch	DOID:0112009	pituitary adenoma 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pituitary adenoma 1, multiple types	LEXMATCH
MONDO:0007083	autosomal dominant palmoplantar keratoderma and congenital alopecia	skos:closeMatch	DOID:0111244	palmoplantar keratoderma and congenital alopecia 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	palmoplantar keratoderma and congenital alopecia 1	LEXMATCH
MONDO:0007083	autosomal dominant palmoplantar keratoderma and congenital alopecia	skos:closeMatch	DOID:0111244	palmoplantar keratoderma and congenital alopecia 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	keratoderma-hypotrichosis-leukonychia totalis syndrome	LEXMATCH
MONDO:0007083	autosomal dominant palmoplantar keratoderma and congenital alopecia	skos:closeMatch	DOID:0111244	palmoplantar keratoderma and congenital alopecia 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	ppkca1	LEXMATCH
MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex	skos:closeMatch	DOID:0111246	amyotrophic lateral sclerosis-parkinsonism/dementia complex 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	amyotrophic lateral sclerosis-parkinsonism/dementia complex of guam	LEXMATCH
MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex	skos:closeMatch	DOID:0111246	amyotrophic lateral sclerosis-parkinsonism/dementia complex 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	als-pdc	LEXMATCH
MONDO:0007104	amyotrophic lateral sclerosis-parkinsonism-dementia complex	skos:closeMatch	DOID:0111246	amyotrophic lateral sclerosis-parkinsonism/dementia complex 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	amyotrophic lateral sclerosis-parkinsonism/dementia complex 1	LEXMATCH
MONDO:0007110	Diamond-Blackfan anemia 1	skos:closeMatch	DOID:0111895	Diamond-Blackfan anemia 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	dba1	LEXMATCH
MONDO:0007158	arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome	skos:closeMatch	DOID:0111608	distal arthrogryposis type 5	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome	LEXMATCH
MONDO:0007158	arthrogryposis- oculomotor limitation-electroretinal anomalies syndrome	skos:closeMatch	DOID:0111608	distal arthrogryposis type 5	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	da5	LEXMATCH
MONDO:0007159	arthrogryposis-like hand anomaly-sensorineural deafness syndrome	skos:closeMatch	DOID:0111609	distal arthrogryposis type 6	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	arthrogryposis and sensorineural deafness	LEXMATCH
MONDO:0007159	arthrogryposis-like hand anomaly-sensorineural deafness syndrome	skos:closeMatch	DOID:0111609	distal arthrogryposis type 6	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	familial hand abnormality and sensori-neural deafness	LEXMATCH
MONDO:0007159	arthrogryposis-like hand anomaly-sensorineural deafness syndrome	skos:closeMatch	DOID:0111609	distal arthrogryposis type 6	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	da6	LEXMATCH
MONDO:0007193	primary biliary cholangitis 1	skos:closeMatch	DOID:0070358	primary biliary cholangitis 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	pbc1	LEXMATCH
MONDO:0007193	primary biliary cholangitis 1	skos:closeMatch	DOID:0070358	primary biliary cholangitis 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	biliary cirrhosis, primary, 1	LEXMATCH
MONDO:0007205	diaphyseal medullary stenosis-bone malignancy syndrome	skos:closeMatch	DOID:0080664	diaphyseal medullary stenosis with malignant fibrous histiocytoma	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	diaphyseal medullary stenosis with malignant fibrous histiocytoma	LEXMATCH
MONDO:0007252	Gordon syndrome	skos:closeMatch	DOID:0111607	distal arthrogryposis type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	da3	LEXMATCH
MONDO:0007299	Sotos syndrome 1	skos:closeMatch	DOID:0112103	Sotos syndrome 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	sotos1	LEXMATCH
MONDO:0007389	spondylocostal dysostosis 5	skos:closeMatch	DOID:0112363	spondylocostal dysostosis 5	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	scdo5	LEXMATCH
MONDO:0007390	coumarin resistance	skos:closeMatch	DOID:0080665	warfarin resistance	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	warfarin resistance	LEXMATCH
MONDO:0007390	coumarin resistance	skos:closeMatch	DOID:0080666	warfarin sensitivity	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	warfarin sensitivity	LEXMATCH
MONDO:0007458	digitotalar dysmorphism; ulnar drift, hereditary	skos:closeMatch	DOID:0111596	distal arthrogryposis type 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	digitotalar dysmorphism	LEXMATCH
MONDO:0007507	absence of fingerprints-congenital milia syndrome	skos:closeMatch	DOID:0080725	BASAN syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	basan syndrome	LEXMATCH
MONDO:0007608	desmoid tumor	skos:closeMatch	DOID:0111349	hereditary desmoid disease	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	fif	LEXMATCH
MONDO:0007608	desmoid tumor	skos:closeMatch	DOID:0111349	hereditary desmoid disease	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	familial infiltrative fibromatosis	LEXMATCH
MONDO:0007636	frontorhiny	skos:closeMatch	DOID:0081044	frontonasal dysplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	frontonasal dysplasia	LEXMATCH
MONDO:0007636	frontorhiny	skos:closeMatch	DOID:0081045	frontonasal dysplasia 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	frontonasal dysplasia 1	LEXMATCH
MONDO:0007744	cholesterol-ester transfer protein deficiency	skos:closeMatch	DOID:0111369	hyperalphalipoproteinemia 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	halp1	LEXMATCH
MONDO:0007744	cholesterol-ester transfer protein deficiency	skos:closeMatch	DOID:0111369	hyperalphalipoproteinemia 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	hyperalphalipoproteinemia 1	LEXMATCH
MONDO:0007828	indifference to pain, congenital, autosomal dominant	skos:closeMatch	DOID:0081075	Marsili syndrome	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	marsili syndrome	LEXMATCH
MONDO:0007859	palmoplantar keratoderma i, striate, focal, or diffuse	skos:closeMatch	DOID:0081108	keratosis palmoplantaris striata 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	keratosis palmoplantaris striata 1	LEXMATCH
MONDO:0007878	congenital laryngomalacia	skos:closeMatch	DOID:0080833	laryngomalacia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	laryngomalacia	LEXMATCH
MONDO:0007944	Treacher Collins syndrome 1	skos:closeMatch	DOID:0080789	Treacher Collins syndrome 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	treacher collins syndrome 1	LEXMATCH
MONDO:0008016	trismus-pseudocamptodactyly syndrome	skos:closeMatch	DOID:0111603	distal arthrogryposis type 7	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	da7	LEXMATCH
MONDO:0008048	autosomal dominant centronuclear myopathy	skos:closeMatch	DOID:0111223	centronuclear myopathy 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	cnm1	LEXMATCH
MONDO:0008123	autosomal dominant omodysplasia	skos:closeMatch	DOID:0080845	omodysplasia 2	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	omodysplasia 2	LEXMATCH
MONDO:0008302	centra precocious puberty 1	skos:closeMatch	DOID:0112310	central precocious puberty 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	cppb1	LEXMATCH
MONDO:0008316	thrombophilia due to protein C deficiency, autosomal dominant	skos:closeMatch	DOID:0111909	autosomal dominant thrombophilia due to protein C deficiency	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	thph3	LEXMATCH
MONDO:0008374	retinal cone dystrophy type 1	skos:closeMatch	DOID:0081024	retinal cone dystrophy 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	retinal cone dystrophy 1	LEXMATCH
MONDO:0008458	spinocerebellar ataxia type 2	skos:closeMatch	DOID:0060204	amyotrophic lateral sclerosis type 13	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	amyotrophic lateral sclerosis type 13	LEXMATCH
MONDO:0008458	spinocerebellar ataxia type 2	skos:closeMatch	DOID:0060204	amyotrophic lateral sclerosis type 13	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	als13	LEXMATCH
MONDO:0008458	spinocerebellar ataxia type 2	skos:closeMatch	DOID:0060204	amyotrophic lateral sclerosis type 13	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	amyotrophic lateral sclerosis 13	LEXMATCH
MONDO:0008476	spondyloepimetaphyseal dysplasia, Strudwick type	skos:closeMatch	DOID:0112295	spondylometaphyseal dysplasia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	spondylometaphyseal dysplasia	LEXMATCH
MONDO:0008478	spondylometaphyseal dysplasia, Schmidt type	skos:closeMatch	DOID:0112296	spondylometaphyseal dysplasia Algerian type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	spondylometaphyseal dysplasia algerian type	LEXMATCH
MONDO:0008479	spondylometaphyseal dysplasia, 'corner fracture' type	skos:closeMatch	DOID:0112297	spondylometaphyseal dysplasia corner fracture type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	spondylometaphyseal dysplasia sutcliffe type	LEXMATCH
MONDO:0008479	spondylometaphyseal dysplasia, 'corner fracture' type	skos:closeMatch	DOID:0112297	spondylometaphyseal dysplasia corner fracture type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	spondylometaphyseal dysplasia corner fracture type	LEXMATCH
MONDO:0008479	spondylometaphyseal dysplasia, 'corner fracture' type	skos:closeMatch	DOID:0112297	spondylometaphyseal dysplasia corner fracture type	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	smdcf	LEXMATCH
MONDO:0008512	syndactyly type 1	skos:closeMatch	DOID:0111816	syndactyly type 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	sdty1	LEXMATCH
MONDO:0008512	syndactyly type 1	skos:closeMatch	DOID:0111816	syndactyly type 1	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	chromosome 2q35 duplication syndrome	LEXMATCH
MONDO:0008514	syndactyly type 3	skos:closeMatch	DOID:0111817	syndactyly type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	sdty3	LEXMATCH
MONDO:0008514	syndactyly type 3	skos:closeMatch	DOID:0111817	syndactyly type 3	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	syndactyly, type iii	LEXMATCH
MONDO:0008515	syndactyly type 4	skos:closeMatch	DOID:0111818	syndactyly type 4	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	haas type syndactyly	LEXMATCH
MONDO:0008515	syndactyly type 4	skos:closeMatch	DOID:0111818	syndactyly type 4	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	sdty4	LEXMATCH
MONDO:0008516	syndactyly type 5	skos:closeMatch	DOID:0111819	syndactyly type 5	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	syndactyly with associated metacarpal and metatarsal fusion	LEXMATCH
MONDO:0008516	syndactyly type 5	skos:closeMatch	DOID:0111819	syndactyly type 5	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	sdty5	LEXMATCH
MONDO:0008559	thrombophilia due to thrombin defect	skos:closeMatch	DOID:0080701	prothrombin thrombophilia	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	rdfs:label	prothrombin thrombophilia	LEXMATCH
MONDO:0008559	thrombophilia due to thrombin defect	skos:closeMatch	DOID:0111907	thrombophilia due to thrombin defect	semapv:LexicalMatching	oaklib	oio:hasRelatedSynonym	oio:hasExactSynonym	thph1	LEXMATCH
