subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000455	cone dystrophy	skos:broadMatch	GARD:11897	Progressive cone dystrophy	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	progressive cone dystrophy	LEXMATCH
MONDO:0000912	autosomal recessive nonsyndromic hearing loss 5	skos:broadMatch	GARD:22585	Deafness, autosomal recessive 5	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	deafness, autosomal recessive 5	LEXMATCH
MONDO:0001476	coloboma	skos:broadMatch	GARD:1436	Coloboma of macula	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	coloboma of macula	LEXMATCH
MONDO:0001586	mucopolysaccharidosis type 1	skos:broadMatch	GARD:12559	Hurler syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	hurler syndrome	LEXMATCH
MONDO:0001713	inherited aplastic anemia	skos:broadMatch	GARD:18889	Rare constitutional aplastic anemia	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	rare constitutional aplastic anemia	LEXMATCH
MONDO:0002113	peritoneal carcinoma	skos:broadMatch	GARD:20103	Primary peritoneal carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	primary peritoneal carcinoma	LEXMATCH
MONDO:0002520	hepatic porphyria	skos:broadMatch	GARD:19255	Acute hepatic porphyria	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	acute hepatic porphyria	LEXMATCH
MONDO:0005201	restrictive cardiomyopathy	skos:broadMatch	GARD:20532	Familial restrictive cardiomyopathy	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	familial restrictive cardiomyopathy	LEXMATCH
MONDO:0005498	botulism	skos:broadMatch	GARD:20591	Foodborne botulism	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	foodborne botulism	LEXMATCH
MONDO:0006617	vesiculobullous skin disease	skos:broadMatch	GARD:13606	Subcorneal pustular dermatosis	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	subcorneal pustular dermatosis	LEXMATCH
