subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000023	infantile liver failure	skos:exactMatch	GARD:17820	Fever-associated acute infantile liver failure syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:464724	LEXMATCH
MONDO:0000044	hereditary hypophosphatemic rickets	skos:exactMatch	GARD:6735	Hypophosphatemic rickets	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:437	LEXMATCH
MONDO:0000050	isolated congenital growth hormone deficiency	skos:exactMatch	GARD:12556	Non-acquired isolated growth hormone deficiency	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:631	LEXMATCH
MONDO:0000087	polymicrogyria	skos:exactMatch	GARD:18818	Polymicrogyria	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:35981	LEXMATCH
MONDO:0000088	precocious puberty	skos:exactMatch	GARD:7446	Rare precocious puberty	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:95708	LEXMATCH
MONDO:0000107	auriculocondylar syndrome	skos:exactMatch	GARD:9798	Auriculocondylar syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:137888	LEXMATCH
MONDO:0000110	bifid nose	skos:exactMatch	GARD:884	Bifid nose	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:2695	LEXMATCH
MONDO:0000127	geleophysic dysplasia	skos:exactMatch	GARD:2449	Geleophysic dysplasia	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:2623	LEXMATCH
MONDO:0000128	giant axonal neuropathy	skos:exactMatch	GARD:6500	Giant axonal neuropathy	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	giant axonal neuropathy	LEXMATCH
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:exactMatch	GARD:2945	ICF syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:2268	LEXMATCH
MONDO:0000136	keratosis follicularis spinulosa decalvans	skos:exactMatch	GARD:6829	Keratosis follicularis spinulosa decalvans	semapv:LexicalMatching	oaklib	0.9411764705882352	skos:exactMatch	skos:exactMatch	orphanet:2340	LEXMATCH
