mondo_id	subset	doid_id	mondo_label	doid_label
ID	A oboInOwl:inSubset	>A oboInOwl:source		
MONDO:0000023	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080716	infantile liver failure	infantile liver failure syndrome
MONDO:0000030	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060681	familial sleep-related hypermotor epilepsy	autosomal dominant nocturnal frontal lobe epilepsy
MONDO:0000050	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060870	isolated congenital growth hormone deficiency	isolated growth hormone deficiency
MONDO:0000127	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0111724	geleophysic dysplasia	geleophysic dysplasia
MONDO:0000133	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0090007	immunodeficiency-centromeric instability-facial anomalies syndrome	immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000136	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080753	keratosis follicularis spinulosa decalvans	keratosis follicularis spinulosa decalvans
MONDO:0000141	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080688	mosaic variegated aneuploidy syndrome	mosaic variegated aneuploidy syndrome
MONDO:0000160	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0111689	epilepsy, familial adult myoclonic	familial adult myoclonic epilepsy
MONDO:0000171	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050560	muscular dystrophy-dystroglycanopathy, type A	Walker-Warburg syndrome
MONDO:0000193	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0090139	cortisone reductase deficiency	cortisone reductase deficiency
MONDO:0000225	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050026	human monocytic ehrlichiosis	human monocytic ehrlichiosis
MONDO:0000241	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050083	Keshan disease	Keshan disease
MONDO:0000290	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050242	primary amebic meningoencephalitis	primary amebic meningoencephalitis
MONDO:0000291	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050246	granulomatous amebic encephalitis	granulomatous amebic encephalitis
