mondo_id	subset	doid_id	mondo_label	doid_label
MONDO:0000327	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050456	Buruli ulcer disease	Buruli ulcer disease
MONDO:0000332	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050485	sennetsu fever	sennetsu fever
MONDO:0000334	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050489	multinodular goiter	multinodular goiter
MONDO:0000351	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050544	disorder of methionine catabolism	hypermethioninemia
MONDO:0000355	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050558	Ullrich congenital muscular dystrophy	Ullrich congenital muscular dystrophy
MONDO:0000359	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050568	spondylocostal dysostosis	spondylocostal dysostosis
MONDO:0000390	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050661	vitelliform macular dystrophy	vitelliform macular dystrophy
MONDO:0000397	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050670	ataxic cerebral palsy	ataxic cerebral palsy
MONDO:0000430	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050749	mature T-cell and NK-cell non-Hodgkin lymphoma	peripheral T-cell lymphoma
MONDO:0000447	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050770	autosomal dominant polycystic liver disease	polycystic liver disease
MONDO:0000455	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050795	cone dystrophy	cone dystrophy
MONDO:0000463	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050816	Ochoa syndrome	urofacial syndrome
MONDO:0000477	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050836	focal dystonia	focal dystonia
MONDO:0000481	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050840	cervical dystonia	cervical dystonia
MONDO:0000507	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0050881	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000565	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060000	infective endocarditis	infective endocarditis
MONDO:0000607	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060061	primary cutaneous T-cell non-Hodgkin lymphoma	primary cutaneous T-cell non-Hodgkin lymphoma
MONDO:0000608	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060062	familial juvenile hyperuricemic nephropathy	autosomal dominant tubulointerstitial kidney disease
MONDO:0000665	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060135	apraxia	apraxia
MONDO:0000678	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060148	simultanagnosia	simultanagnosia
MONDO:0000688	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060159	inborn organic aciduria	organic acidemia
MONDO:0000700	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060178	familial hemiplegic migraine	familial hemiplegic migraine
MONDO:0000702	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060182	microscopic colitis	microscopic colitis
MONDO:0000703	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060183	collagenous colitis	collagenous colitis
MONDO:0000704	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060184	lymphocytic colitis	lymphocytic colitis
MONDO:0000722	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060242	non-syndromic synpolydactyly	synpolydactyly
MONDO:0000726	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060250	idiopathic scoliosis	idiopathic scoliosis
MONDO:0000732	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060286	combined oxidative phosphorylation deficiency	combined oxidative phosphorylation deficiency
MONDO:0000733	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060287	cornea plana	cornea plana
MONDO:0000734	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060289	Ohdo syndrome and variants	Ohdo syndrome
MONDO:0000736	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060304	dyschromatosis universalis hereditaria	dyschromatosis universalis hereditaria
MONDO:0000755	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060329	ectopic pregnancy	ectopic pregnancy
MONDO:0000809	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060538	purpura fulminans	purpura fulminans
MONDO:0000816	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060611	abdominal obesity-metabolic syndrome	abdominal obesity-metabolic syndrome
MONDO:0000819	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060668	anencephaly	anencephaly
MONDO:0000820	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060669	cerebral cavernous malformation	cerebral cavernous malformation
MONDO:0000845	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080031	fibrous dysplasia	fibrous dysplasia
MONDO:0000858	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080072	neuronal intestinal dysplasia	intestinal pseudo-obstruction
MONDO:0000863	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080099	myopathy, lactic acidosis, and sideroblastic anemia	myopathy, lactic acidosis, and sideroblastic anemia
MONDO:0000873	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080147	lymphoblastic lymphoma	lymphoblastic lymphoma
MONDO:0000878	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080160	cytomegalovirus retinitis	Cytomegalovirus retinitis
MONDO:0000891	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0080182	mixed fibrolamellar hepatocellular carcinoma	mixed fibrolamellar hepatocellular carcinoma
MONDO:0000902	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0090003	agenesis of the corpus callosum with peripheral neuropathy	agenesis of the corpus callosum with peripheral neuropathy
MONDO:0000930	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10047	nodular malignant melanoma	nodular malignant melanoma
MONDO:0000936	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10073	syphilitic meningitis	syphilitic meningitis
MONDO:0000956	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10154	small intestine cancer	small intestine cancer
MONDO:0000979	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1022	pinta disease	pinta disease
MONDO:0000984	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10241	thalassemia	thalassemia
MONDO:0000989	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10264	mumps infectious disease	mumps
MONDO:0000995	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1029	familial periodic paralysis	familial periodic paralysis
MONDO:0001001	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10321	baritosis	baritosis
MONDO:0001005	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10331	kaolin pneumoconiosis	kaolin pneumoconiosis
MONDO:0001008	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10348	blepharophimosis	blepharophimosis
MONDO:0001023	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1039	prolymphocytic leukemia	prolymphocytic leukemia
MONDO:0001029	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10426	Klippel-Feil syndrome	Klippel-Feil syndrome
MONDO:0001044	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10485	esophageal atresia	esophageal atresia
MONDO:0001046	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10488	imperforate anus	imperforate anus
MONDO:0001056	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10534	gastric cancer	stomach cancer
MONDO:0001059	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10540	gastric lymphoma	gastric lymphoma
MONDO:0001068	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10573	osteomalacia	osteomalacia
MONDO:0001078	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10607	tropical sprue	tropical sprue
MONDO:0001082	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10619	lymph node cancer	lymph node cancer
MONDO:0001083	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1062	Fanconi renotubular syndrome	Fanconi syndrome
MONDO:0001104	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10719	toxic diffuse goiter	toxic diffuse goiter
MONDO:0001112	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10773	bubonic plague	bubonic plague
MONDO:0001134	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10825	essential hypertension	essential hypertension
MONDO:0001149	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10907	microcephaly	microcephaly
MONDO:0001150	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10908	hydrocephalus	hydrocephalus
MONDO:0001168	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10967	spastic hemiplegia	spastic hemiplegia
MONDO:0001169	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10968	spastic monoplegia	spastic monoplegia
MONDO:0001170	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:10969	hemiplegia	hemiplegia
MONDO:0001186	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11038	depersonalization disorder	depersonalization disorder
MONDO:0001187	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11054	urinary bladder cancer	urinary bladder cancer
MONDO:0001195	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11104	spotted fever	spotted fever
MONDO:0001220	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11199	hypoparathyroidism	hypoparathyroidism
MONDO:0001221	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:112	esophageal varices	esophageal varix
MONDO:0001246	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11256	typhus	typhus
MONDO:0001249	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11265	trachoma	trachoma
MONDO:0001250	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11267	keratomalacia	keratomalacia
MONDO:0001260	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11302	cercarial dermatitis	cercarial dermatitis
MONDO:0001266	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11330	erysipelas	erysipelas
MONDO:0001275	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1138	spinal meningioma	spinal meningioma
MONDO:0001280	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11406	choroiditis	choroiditis
MONDO:0001294	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11486	Horner syndrome	Horner's syndrome
MONDO:0001301	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11507	rumination disorder	rumination disorder
MONDO:0001314	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1156	chondrocalcinosis	chondrocalcinosis
MONDO:0001332	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1166	palindromic rheumatism	palindromic rheumatism
MONDO:0001340	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:117	heart cancer	heart cancer
MONDO:0001341	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0060025	selective IgA deficiency disease	immunoglobulin alpha deficiency
MONDO:0001347	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11727	facioscapulohumeral muscular dystrophy	facioscapulohumeral muscular dystrophy
MONDO:0001378	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11817	urachus cancer	urachus cancer
MONDO:0001382	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11823	hepatorenal syndrome	hepatorenal syndrome
MONDO:0001402	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:119	vaginal cancer	vaginal cancer
MONDO:0001414	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:11991	osteopoikilosis	osteopoikilosis
MONDO:0001422	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12028	primary aldosteronism	Conn's syndrome
MONDO:0001427	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12070	Dieulafoy lesion	Dieulafoy lesion
MONDO:0001436	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12119	hemosiderosis	hemosiderosis
MONDO:0001437	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12120	pulmonary alveolar proteinosis	pulmonary alveolar proteinosis
MONDO:0001444	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12140	Chagas disease	Chagas disease
MONDO:0001476	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12270	coloboma	coloboma
MONDO:0001508	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12358	patulous eustachian tube	patulous eustachian tube
MONDO:0001516	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12377	spinal muscular atrophy	spinal muscular atrophy
MONDO:0001528	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1245	vulva cancer	vulva cancer
MONDO:0001549	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12554	hemolytic-uremic syndrome	hemolytic-uremic syndrome
MONDO:0001558	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12594	Potter sequence	Potter's syndrome
MONDO:0001567	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12679	nephrocalcinosis	nephrocalcinosis
MONDO:0001569	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12689	acoustic neuroma	acoustic neuroma
MONDO:0001584	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1279	ocular motility disease	ocular motility disease
MONDO:0001586	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12802	mucopolysaccharidosis type 1	mucopolysaccharidosis I
MONDO:0001595	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:12859	choreatic disease	choreatic disease
MONDO:0001617	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13027	transient global amnesia	transient global amnesia
MONDO:0001676	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13270	erythropoietic protoporphyria	erythropoietic protoporphyria
MONDO:0001705	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1340	pure red-cell aplasia	pure red-cell aplasia
MONDO:0001711	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13413	hepatic encephalopathy	hepatic encephalopathy
MONDO:0001714	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13431	bejel	bejel
MONDO:0001718	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13452	scleritis	scleritis
MONDO:0001734	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13515	tuberous sclerosis	tuberous sclerosis
MONDO:0001741	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13543	hyperparathyroidism	hyperparathyroidism
MONDO:0001754	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13593	eclampsia	eclampsia
MONDO:0001797	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13778	chancroid	chancroid
MONDO:0001822	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1387	hypolipoproteinemia	hypolipoproteinemia
MONDO:0001823	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:13884	sick sinus syndrome	sick sinus syndrome
MONDO:0001867	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14049	phaeohyphomycosis	phaeohyphomycosis
MONDO:0001879	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14110	anus cancer	anus cancer
MONDO:0001901	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14176	selective IgG subclass deficiency	selective IgG deficiency disease
MONDO:0001909	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14219	renal tubular acidosis	renal tubular acidosis
MONDO:0001910	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14223	ochronosis disorder	ochronosis
MONDO:0001956	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14400	capillary leak syndrome	capillary leak syndrome
MONDO:0001967	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14447	gonadal dysgenesis	gonadal dysgenesis
MONDO:0001971	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14453	farmer's lung disease	farmer's lung
MONDO:0001982	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14504	Niemann-Pick disease	Niemann-Pick disease
MONDO:0001999	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14557	idiopathic pulmonary arterial hypertension	primary pulmonary hypertension
MONDO:0002010	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14711	FG syndrome	FG syndrome
MONDO:0002012	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:14749	methylmalonic acidemia	methylmalonic acidemia
MONDO:0002013	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1475	lymphangioma	lymphangioma
MONDO:0002049	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1588	thrombocytopenia	thrombocytopenia
MONDO:0002070	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1657	ventricular septal defect	ventricular septal defect
MONDO:0002073	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1660	malignant pineal area germ cell neoplasm	malignant pineal area germ cell neoplasm
MONDO:0002083	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1703	Richter transformation	Richter's syndrome
MONDO:0002093	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:174	acanthoma	acanthoma
MONDO:0002104	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1768	conversion disorder	conversion disorder
MONDO:0002109	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1785	pituitary cancer	pituitary cancer
MONDO:0002125	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1824	obsolete status epilepticus	status epilepticus
MONDO:0002128	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1835	mononeuritis multiplex	mononeuritis multiplex
MONDO:0002155	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1949	cholecystitis	cholecystitis
MONDO:0002158	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:1964	fallopian tube cancer	fallopian tube cancer
MONDO:0002191	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2065	syringoma	syringoma
MONDO:0002299	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2436	glomangioma	glomangioma
MONDO:0002304	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2451	protein S deficiency	protein S deficiency
MONDO:0002308	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2457	giant papillary conjunctivitis	giant papillary conjunctivitis
MONDO:0002313	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2474	vernal conjunctivitis	vernal conjunctivitis
MONDO:0002352	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2596	larynx cancer	larynx cancer
MONDO:0002360	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2602	chondroma	chondroma
MONDO:0002370	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2636	ovarian Brenner tumor	ovarian Brenner tumor
MONDO:0002387	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:268	liver angiosarcoma	liver angiosarcoma
MONDO:0002400	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2703	synovitis	synovitis
MONDO:0002413	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:0081329	glycogen storage disease I	glycogen storage disease I
MONDO:0002422	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2776	adamantinoma	adamantinoma
MONDO:0002441	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2842	Jervell and Lange-Nielsen syndrome	Jervell-Lange Nielsen syndrome
MONDO:0002442	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2843	long QT syndrome	long QT syndrome
MONDO:0002457	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2908	Treacher-Collins syndrome	Treacher Collins syndrome
MONDO:0002461	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2920	membranoproliferative glomerulonephritis	membranoproliferative glomerulonephritis
MONDO:0002462	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2921	glomerulonephritis	glomerulonephritis
MONDO:0002474	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2977	primary hyperoxaluria	primary hyperoxaluria
MONDO:0002479	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:2997	Sertoli-Leydig cell tumor	Sertoli-Leydig cell tumor
MONDO:0002520	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3133	hepatic porphyria	acute porphyria
MONDO:0002565	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:322	myelitis	myelitis
MONDO:0002594	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3292	monkeypox	mpox
MONDO:0002661	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3480	uveal disorder	uveal disease
MONDO:0002675	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3512	neurofibrosarcoma	neurofibrosarcoma
MONDO:0002682	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3541	cerebral ventricle cancer	cerebral ventricle cancer
MONDO:0002687	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3557	superior mesenteric artery syndrome	superior mesenteric artery syndrome
MONDO:0002728	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3672	rhabdoid tumor	rhabdoid cancer
MONDO:0002783	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3825	Shwartzman phenomenon	Shwartzman phenomenon
MONDO:0002791	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3857	large cell medulloblastoma	large cell medulloblastoma
MONDO:0002817	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3953	adrenal gland cancer	adrenal gland cancer
MONDO:0002822	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:3965	trabecular adenocarcinoma	Merkel cell carcinoma
MONDO:0002898	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4159	skin cancer	skin cancer
MONDO:0002912	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4203	brainstem cancer	brain stem cancer
MONDO:0002984	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4394	reticulohistiocytic granuloma	reticulohistiocytic granuloma
MONDO:0002999	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4438	central nervous system germinoma	central nervous system germinoma
MONDO:0003004	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4448	macular degeneration	macular degeneration
MONDO:0003008	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4455	hereditary renal cell carcinoma	hereditary renal cell carcinoma
MONDO:0003009	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:446	hyperaldosteronism	primary hyperaldosteronism
MONDO:0003036	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4531	mucoepidermoid carcinoma	mucoepidermoid carcinoma
MONDO:0003037	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4535	hypotrichosis	hypotrichosis
MONDO:0003060	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4607	biliary tract cancer	biliary tract cancer
MONDO:0003139	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4783	mesangial proliferative glomerulonephritis	mesangial proliferative glomerulonephritis
MONDO:0003145	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4791	supratentorial primitive neuroectodermal tumor	supratentorial primitive neuroectodermal tumor
MONDO:0003157	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4837	disappearing bone disease	Gorham's disease
MONDO:0003158	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4838	malignant myoepithelioma	myoepithelial carcinoma
MONDO:0003198	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4906	small intestine adenocarcinoma	small intestine adenocarcinoma
MONDO:0003210	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4928	intrahepatic cholangiocarcinoma	intrahepatic cholangiocarcinoma
MONDO:0003214	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4933	apocrine adenocarcinoma	apocrine carcinoma
MONDO:0003233	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4990	essential tremor	essential tremor
MONDO:0003235	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4992	optic nerve glioma	optic nerve glioma
MONDO:0003345	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:4927	hilar cholangiocarcinoma	Klatskin's tumor
MONDO:0003402	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5344	testicular yolk sac tumor	testicular yolk sac tumor
MONDO:0003450	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5446	eccrine papillary adenoma	eccrine papillary adenoma
MONDO:0003578	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5677	extragonadal nonseminomatous germ cell tumor	malignant extragonadal nonseminomatous germ cell tumor
MONDO:0003606	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5719	adrenal medulla cancer	adrenal medulla cancer
MONDO:0003608	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5723	optic atrophy	optic atrophy
MONDO:0003614	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5729	intravenous leiomyomatosis	intravenous leiomyomatosis
MONDO:0003633	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5758	malignant mesenchymoma	malignant mesenchymoma
MONDO:0003658	http://purl.obolibrary.org/obo/mondo#doid_rare	DOID:5822	B-cell lymphoma, unclassifiable, with features intermediate between diffuse large b-cell lymphoma and classical Hodgkin lymphoma	gray zone lymphoma
