mondo_id	report_ref	report_ref_source	preferred_name	preferred_name_source	synonym_type	subset	subset_source	subset_source2
MONDO:0018008					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0018004					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0018005					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0018006					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0018001					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0018002					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0017999					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0018000					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0017998	NORD:1302	MONDO:NORD		NORD:1302	http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:1302	MONDO:NORD
MONDO:0017993					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0017994					http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare		MONDO:NORD
MONDO:0017991	NORD:806	MONDO:NORD	Arteritis, Takayasu	NORD:806	http://purl.obolibrary.org/obo/mondo#NORD_LABEL	http://purl.obolibrary.org/obo/mondo#nord_rare	NORD:806	MONDO:NORD
