mondo_id	dismech_url	source
ID	AT obo:mondo#curated_content_resource^^xsd:anyURI	>A oboInOwl:source
MONDO:0000030	https://dismech.monarchinitiative.org/pages/disorders/Familial_Sleep_Related_Hypermotor_Epilepsy.html	MONDO:DisMech
MONDO:0000107	https://dismech.monarchinitiative.org/pages/disorders/Auriculocondylar_Syndrome.html	MONDO:DisMech
MONDO:0000127	https://dismech.monarchinitiative.org/pages/disorders/Geleophysic_Dysplasia.html	MONDO:DisMech
MONDO:0000133	https://dismech.monarchinitiative.org/pages/disorders/Immunodeficiency_Centromeric_Instability_Facial_Anomalies_Syndrome.html	MONDO:DisMech
MONDO:0000136	https://dismech.monarchinitiative.org/pages/disorders/Keratosis_Follicularis_Spinulosa_Decalvans.html	MONDO:DisMech
MONDO:0000141	https://dismech.monarchinitiative.org/pages/disorders/Mosaic_Variegated_Aneuploidy_Syndrome.html	MONDO:DisMech
MONDO:0000170	https://dismech.monarchinitiative.org/pages/disorders/Microphthalmia_with_Coloboma.html	MONDO:DisMech
MONDO:0000193	https://dismech.monarchinitiative.org/pages/disorders/Cortisone_Reductase_Deficiency.html	MONDO:DisMech
MONDO:0000200	https://dismech.monarchinitiative.org/pages/disorders/Zimmermann_Laband_Syndrome.html	MONDO:DisMech
MONDO:0000211	https://dismech.monarchinitiative.org/pages/disorders/Autosomal_Dominant_Striatal_Neurodegeneration.html	MONDO:DisMech
MONDO:0000212	https://dismech.monarchinitiative.org/pages/disorders/Infantile_Hypercalcemia.html	MONDO:DisMech
MONDO:0000262	https://dismech.monarchinitiative.org/pages/disorders/Otomycosis.html	MONDO:DisMech
MONDO:0000288	https://dismech.monarchinitiative.org/pages/disorders/Polycystic_Echinococcosis.html	MONDO:DisMech
MONDO:0000327	https://dismech.monarchinitiative.org/pages/disorders/Buruli_Ulcer.html	MONDO:DisMech
MONDO:0000330	https://dismech.monarchinitiative.org/pages/disorders/Murine_Typhus.html	MONDO:DisMech
MONDO:0000341	https://dismech.monarchinitiative.org/pages/disorders/Paralytic_Poliomyelitis.html	MONDO:DisMech
MONDO:0000355	https://dismech.monarchinitiative.org/pages/disorders/Ullrich_Congenital_Muscular_Dystrophy.html	MONDO:DisMech
MONDO:0000359	https://dismech.monarchinitiative.org/pages/disorders/Spondylocostal_Dysostosis.html	MONDO:DisMech
MONDO:0000390	https://dismech.monarchinitiative.org/pages/disorders/BEST1_Bestrophinopathies.html	MONDO:DisMech
MONDO:0000447	https://dismech.monarchinitiative.org/pages/disorders/Autosomal_Dominant_Polycystic_Liver_Disease.html	MONDO:DisMech
