subject_id	subject_label	is_mapped	is_excluded	is_deprecated
NCIT:C114964	Childhood Gemistocytic Astrocytoma	False	False	False
NCIT:C114966	Childhood Giant Cell Glioblastoma	False	False	False
NCIT:C114967	Childhood Diffuse Astrocytoma	False	False	False
NCIT:C114968	Childhood Gliosarcoma	False	False	False
NCIT:C114969	Childhood Gliomatosis Cerebri	False	False	False
NCIT:C114970	Childhood Pilomyxoid Astrocytoma	False	False	False
NCIT:C114971	Childhood Pleomorphic Xanthoastrocytoma	False	False	False
NCIT:C114972	Childhood Protoplasmic Astrocytoma	False	False	False
NCIT:C114973	Childhood Anaplastic Oligoastrocytoma	False	False	False
NCIT:C114974	Childhood Oligoastrocytoma	False	False	False
NCIT:C114987	Adult Combined Hepatocellular Carcinoma and Cholangiocarcinoma	False	False	False
NCIT:C114992	Adult Fibrolamellar Carcinoma	False	False	False
NCIT:C114993	Adult Hepatocellular Pleomorphic Carcinoma	False	False	False
NCIT:C115029	Ann Arbor Stage I Noncutaneous Childhood Anaplastic Large Cell Lymphoma	False	False	False
NCIT:C115030	Ann Arbor Stage II Noncutaneous Childhood Anaplastic Large Cell Lymphoma	False	False	False
NCIT:C115031	Ann Arbor Stage III Noncutaneous Childhood Anaplastic Large Cell Lymphoma	False	False	False
NCIT:C115032	Ann Arbor Stage IV Noncutaneous Childhood Anaplastic Large Cell Lymphoma	False	False	False
NCIT:C115033	Masaoka-Koga Stage II	False	False	False
NCIT:C115034	Masaoka-Koga Stage IV	False	False	False
NCIT:C115035	Stage IVA Thyroid Gland Follicular Carcinoma AJCC v7	False	False	False
NCIT:C115036	Stage IVB Thyroid Gland Follicular Carcinoma AJCC v7	False	False	False
NCIT:C115037	Stage IVC Thyroid Gland Follicular Carcinoma AJCC v7	False	False	False
NCIT:C115038	Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7	False	False	False
NCIT:C115039	Stage IVB Thyroid Gland Papillary Carcinoma AJCC v7	False	False	False
NCIT:C115040	Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7	False	False	False
NCIT:C115041	Stage IIA Colon Cancer AJCC v7	False	False	False
NCIT:C115042	Stage IIB Colon Cancer AJCC v7	False	False	False
NCIT:C115043	Stage IIC Colon Cancer AJCC v7	False	False	False
NCIT:C115044	Stage IIA Rectal Cancer AJCC v7	False	False	False
NCIT:C115045	Stage IIB Rectal Cancer AJCC v7	False	False	False
NCIT:C115046	Stage IIC Rectal Cancer AJCC v7	False	False	False
NCIT:C115047	Stage IIIA Colon Cancer AJCC v7	False	False	False
NCIT:C115048	Stage IIIB Colon Cancer AJCC v7	False	False	False
NCIT:C115049	Stage IIIC Colon Cancer AJCC v7	False	False	False
NCIT:C115050	Stage IIIA Rectal Cancer AJCC v7	False	False	False
NCIT:C115051	Stage IIIB Rectal Cancer AJCC v7	False	False	False
NCIT:C115052	Stage IIIC Rectal Cancer AJCC v7	False	False	False
NCIT:C115053	Stage IVA Colon Cancer AJCC v7	False	False	False
NCIT:C115054	Stage IVB Colon Cancer AJCC v7	False	False	False
NCIT:C115055	Stage IVA Rectal Cancer AJCC v7	False	False	False
NCIT:C115056	Stage IVB Rectal Cancer AJCC v7	False	False	False
NCIT:C115057	Stage I Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115058	Stage II Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115059	Stage III Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115060	Stage IV Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
NCIT:C115061	Stage IVA Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7	False	False	False
