subject_id	object_id	in_any_source	subject_label	object_label	in_icd10cm	in_ordo	in_ncit	in_icd10who	in_icd11foundation	in_omim	in_doid
MONDO:0000004	MONDO:0002816	True	adrenocortical insufficiency	adrenal cortex disorder	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000022	MONDO:0024290	True	nocturnal enuresis	enuresis	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000062	MONDO:0021129	True	isolated microphthalmia	microphthalmia	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000066	MONDO:0016387	True	mitochondrial respiratory chain complex deficiency	mitochondrial oxidative phosphorylation disorder	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000110	MONDO:0015411	True	bifid nose	facial cleft	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000127	MONDO:0019695	True	geleophysic dysplasia	acromelic dysplasia	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000133	MONDO:0006025	True	immunodeficiency-centromeric instability-facial anomalies syndrome	autosomal recessive disease	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000136	MONDO:0018855	True	keratosis follicularis spinulosa decalvans	keratosis pilaris atrophicans	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	SUPPORTED
MONDO:0000141	MONDO:0015356	True	mosaic variegated aneuploidy syndrome	hereditary neoplastic syndrome	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING
MONDO:0000141	MONDO:0019040	True	mosaic variegated aneuploidy syndrome	chromosomal disorder	UNSUPPORTED-MISSING	SUPPORTED	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-MISSING	UNSUPPORTED-SUBCLASS
