subject_id	subject_label	is_mapped	is_excluded	is_deprecated
ICD10CM:A00.0	Cholera due to Vibrio cholerae 01, biovar cholerae	False	False	False
ICD10CM:A00.1	Cholera due to Vibrio cholerae 01, biovar eltor	False	False	False
ICD10CM:A00.9	Cholera, unspecified	False	False	False
ICD10CM:A01	Typhoid and paratyphoid fevers	False	False	False
ICD10CM:A01.00	Typhoid fever, unspecified	False	False	False
ICD10CM:A01.01	Typhoid meningitis	False	False	False
ICD10CM:A01.02	Typhoid fever with heart involvement	False	False	False
ICD10CM:A01.03	Typhoid pneumonia	False	False	False
ICD10CM:A01.04	Typhoid arthritis	False	False	False
ICD10CM:A01.05	Typhoid osteomyelitis	False	False	False
ICD10CM:A01.09	Typhoid fever with other complications	False	False	False
ICD10CM:A01.1	Paratyphoid fever A	False	False	False
ICD10CM:A01.2	Paratyphoid fever B	False	False	False
ICD10CM:A01.3	Paratyphoid fever C	False	False	False
ICD10CM:A01.4	Paratyphoid fever, unspecified	False	False	False
ICD10CM:A02	Other salmonella infections	False	False	False
ICD10CM:A02.0	Salmonella enteritis	False	False	False
ICD10CM:A02.1	Salmonella sepsis	False	False	False
ICD10CM:A02.2	Localized salmonella infections	False	False	False
ICD10CM:A02.20	Localized salmonella infection, unspecified	False	False	False
ICD10CM:A02.21	Salmonella meningitis	False	False	False
ICD10CM:A02.22	Salmonella pneumonia	False	False	False
ICD10CM:A02.23	Salmonella arthritis	False	False	False
ICD10CM:A02.24	Salmonella osteomyelitis	False	False	False
ICD10CM:A02.25	Salmonella pyelonephritis	False	False	False
ICD10CM:A02.29	Salmonella with other localized infection	False	False	False
ICD10CM:A02.8	Other specified salmonella infections	False	False	False
ICD10CM:A02.9	Salmonella infection, unspecified	False	False	False
ICD10CM:A03.0	Shigellosis due to Shigella dysenteriae	False	False	False
ICD10CM:A03.1	Shigellosis due to Shigella flexneri	False	False	False
ICD10CM:A03.2	Shigellosis due to Shigella boydii	False	False	False
ICD10CM:A03.3	Shigellosis due to Shigella sonnei	False	False	False
ICD10CM:A03.8	Other shigellosis	False	False	False
ICD10CM:A03.9	Shigellosis, unspecified	False	False	False
ICD10CM:A04	Other bacterial intestinal infections	False	False	False
ICD10CM:A04.0	Enteropathogenic Escherichia coli infection	False	False	False
ICD10CM:A04.1	Enterotoxigenic Escherichia coli infection	False	False	False
ICD10CM:A04.2	Enteroinvasive Escherichia coli infection	False	False	False
ICD10CM:A04.3	Enterohemorrhagic Escherichia coli infection	False	False	False
ICD10CM:A04.4	Other intestinal Escherichia coli infections	False	False	False
ICD10CM:A04.5	Campylobacter enteritis	False	False	False
ICD10CM:A04.6	Enteritis due to Yersinia enterocolitica	False	False	False
ICD10CM:A04.7	Enterocolitis due to Clostridium difficile	False	False	False
ICD10CM:A04.71	Enterocolitis due to Clostridium difficile, recurrent	False	False	False
ICD10CM:A04.72	Enterocolitis due to Clostridium difficile, not specified as recurrent	False	False	False
ICD10CM:A04.8	Other specified bacterial intestinal infections	False	False	False
ICD10CM:A04.9	Bacterial intestinal infection, unspecified	False	False	False
ICD10CM:A05	Other bacterial foodborne intoxications, not elsewhere classified	False	False	False
ICD10CM:A05.0	Foodborne staphylococcal intoxication	False	False	False
ICD10CM:A05.1	Botulism food poisoning	False	False	False
ICD10CM:A05.2	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	False	False	False
ICD10CM:A05.3	Foodborne Vibrio parahaemolyticus intoxication	False	False	False
ICD10CM:A05.4	Foodborne Bacillus cereus intoxication	False	False	False
ICD10CM:A05.5	Foodborne Vibrio vulnificus intoxication	False	False	False
ICD10CM:A05.8	Other specified bacterial foodborne intoxications	False	False	False
ICD10CM:A05.9	Bacterial foodborne intoxication, unspecified	False	False	False
ICD10CM:A06.0	Acute amebic dysentery	False	False	False
ICD10CM:A06.1	Chronic intestinal amebiasis	False	False	False
ICD10CM:A06.2	Amebic nondysenteric colitis	False	False	False
ICD10CM:A06.3	Ameboma of intestine	False	False	False
ICD10CM:A06.4	Amebic liver abscess	False	False	False
ICD10CM:A06.5	Amebic lung abscess	False	False	False
ICD10CM:A06.6	Amebic brain abscess	False	False	False
ICD10CM:A06.7	Cutaneous amebiasis	False	False	False
ICD10CM:A06.8	Amebic infection of other sites	False	False	False
ICD10CM:A06.81	Amebic cystitis	False	False	False
ICD10CM:A06.82	Other amebic genitourinary infections	False	False	False
ICD10CM:A06.89	Other amebic infections	False	False	False
ICD10CM:A06.9	Amebiasis, unspecified	False	False	False
ICD10CM:A07	Other protozoal intestinal diseases	False	False	False
ICD10CM:A07.8	Other specified protozoal intestinal diseases	False	False	False
ICD10CM:A07.9	Protozoal intestinal disease, unspecified	False	False	False
ICD10CM:A08	Viral and other specified intestinal infections	False	False	False
ICD10CM:A08.0	Rotaviral enteritis	False	False	False
ICD10CM:A08.1	Acute gastroenteropathy due to Norwalk agent and other small round viruses	False	False	False
ICD10CM:A08.11	Acute gastroenteropathy due to Norwalk agent	False	False	False
ICD10CM:A08.19	Acute gastroenteropathy due to other small round viruses	False	False	False
ICD10CM:A08.2	Adenoviral enteritis	False	False	False
ICD10CM:A08.3	Other viral enteritis	False	False	False
ICD10CM:A08.31	Calicivirus enteritis	False	False	False
ICD10CM:A08.32	Astrovirus enteritis	False	False	False
ICD10CM:A08.39	Other viral enteritis	False	False	False
ICD10CM:A08.4	Viral intestinal infection, unspecified	False	False	False
ICD10CM:A08.8	Other specified intestinal infections	False	False	False
ICD10CM:A09	Infectious gastroenteritis and colitis, unspecified	False	False	False
ICD10CM:A15	Respiratory tuberculosis	False	False	False
ICD10CM:A15.0	Tuberculosis of lung	False	False	False
ICD10CM:A15.4	Tuberculosis of intrathoracic lymph nodes	False	False	False
ICD10CM:A15.5	Tuberculosis of larynx, trachea and bronchus	False	False	False
ICD10CM:A15.7	Primary respiratory tuberculosis	False	False	False
ICD10CM:A15.8	Other respiratory tuberculosis	False	False	False
ICD10CM:A15.9	Respiratory tuberculosis unspecified	False	False	False
ICD10CM:A17	Tuberculosis of nervous system	False	False	False
ICD10CM:A17.1	Meningeal tuberculoma	False	False	False
ICD10CM:A17.8	Other tuberculosis of nervous system	False	False	False
ICD10CM:A17.81	Tuberculoma of brain and spinal cord	False	False	False
ICD10CM:A17.82	Tuberculous meningoencephalitis	False	False	False
ICD10CM:A17.83	Tuberculous neuritis	False	False	False
ICD10CM:A17.89	Other tuberculosis of nervous system	False	False	False
ICD10CM:A17.9	Tuberculosis of nervous system, unspecified	False	False	False
ICD10CM:A18	Tuberculosis of other organs	False	False	False
ICD10CM:A18.0	Tuberculosis of bones and joints	False	False	False
ICD10CM:A18.01	Tuberculosis of spine	False	False	False
ICD10CM:A18.02	Tuberculous arthritis of other joints	False	False	False
ICD10CM:A18.03	Tuberculosis of other bones	False	False	False
ICD10CM:A18.09	Other musculoskeletal tuberculosis	False	False	False
ICD10CM:A18.1	Tuberculosis of genitourinary system	False	False	False
ICD10CM:A18.10	Tuberculosis of genitourinary system, unspecified	False	False	False
ICD10CM:A18.11	Tuberculosis of kidney and ureter	False	False	False
ICD10CM:A18.13	Tuberculosis of other urinary organs	False	False	False
ICD10CM:A18.14	Tuberculosis of prostate	False	False	False
ICD10CM:A18.15	Tuberculosis of other male genital organs	False	False	False
ICD10CM:A18.16	Tuberculosis of cervix	False	False	False
ICD10CM:A18.17	Tuberculous female pelvic inflammatory disease	False	False	False
ICD10CM:A18.18	Tuberculosis of other female genital organs	False	False	False
ICD10CM:A18.3	Tuberculosis of intestines, peritoneum and mesenteric glands	False	False	False
ICD10CM:A18.39	Retroperitoneal tuberculosis	False	False	False
ICD10CM:A18.4	Tuberculosis of skin and subcutaneous tissue	False	False	False
ICD10CM:A18.5	Tuberculosis of eye	False	False	False
ICD10CM:A18.50	Tuberculosis of eye, unspecified	False	False	False
ICD10CM:A18.51	Tuberculous episcleritis	False	False	False
ICD10CM:A18.52	Tuberculous keratitis	False	False	False
ICD10CM:A18.53	Tuberculous chorioretinitis	False	False	False
ICD10CM:A18.54	Tuberculous iridocyclitis	False	False	False
ICD10CM:A18.59	Other tuberculosis of eye	False	False	False
ICD10CM:A18.6	Tuberculosis of (inner) (middle) ear	False	False	False
ICD10CM:A18.7	Tuberculosis of adrenal glands	False	False	False
ICD10CM:A18.8	Tuberculosis of other specified organs	False	False	False
ICD10CM:A18.81	Tuberculosis of thyroid gland	False	False	False
ICD10CM:A18.82	Tuberculosis of other endocrine glands	False	False	False
ICD10CM:A18.83	Tuberculosis of digestive tract organs, not elsewhere classified	False	False	False
ICD10CM:A18.84	Tuberculosis of heart	False	False	False
ICD10CM:A18.85	Tuberculosis of spleen	False	False	False
ICD10CM:A18.89	Tuberculosis of other sites	False	False	False
ICD10CM:A19.0	Acute miliary tuberculosis of a single specified site	False	False	False
ICD10CM:A19.1	Acute miliary tuberculosis of multiple sites	False	False	False
ICD10CM:A19.2	Acute miliary tuberculosis, unspecified	False	False	False
ICD10CM:A19.8	Other miliary tuberculosis	False	False	False
ICD10CM:A19.9	Miliary tuberculosis, unspecified	False	False	False
ICD10CM:A20.1	Cellulocutaneous plague	False	False	False
ICD10CM:A20.3	Plague meningitis	False	False	False
ICD10CM:A20.8	Other forms of plague	False	False	False
ICD10CM:A20.9	Plague, unspecified	False	False	False
ICD10CM:A21.7	Generalized tularemia	False	False	False
