n_in1_notIn2_in3	pct_in1_notIn2_in3__over_in1	filename
14	0.001	reports/doid_excluded_terms_in_mondo_xrefs_summary.tsv
0	0	reports/icd10cm_excluded_terms_in_mondo_xrefs_summary.tsv
0	0	reports/icd10who_excluded_terms_in_mondo_xrefs_summary.tsv
166	0.001	reports/ncit_excluded_terms_in_mondo_xrefs_summary.tsv
0	0	reports/omim_excluded_terms_in_mondo_xrefs_summary.tsv
624	0.0408	reports/ordo_excluded_terms_in_mondo_xrefs_summary.tsv
