term_id	exclusion_reason
icd11.foundation:1007584508	MONDO:excludeNonDisease
icd11.foundation:1007620010	MONDO:excludeNonDisease
icd11.foundation:1007689285	MONDO:excludeNonDisease
icd11.foundation:1007695085	MONDO:excludeNonDisease
icd11.foundation:1007722343	MONDO:excludeNonDisease
icd11.foundation:1007744815	MONDO:excludeNonDisease
icd11.foundation:1007760519	MONDO:excludeNonDisease
icd11.foundation:100779418	MONDO:excludeNonDisease
icd11.foundation:1008001092	MONDO:excludeNonDisease
icd11.foundation:1008127348	MONDO:excludeNonDisease
icd11.foundation:1008141435	MONDO:excludeNonDisease
icd11.foundation:1008142941	MONDO:excludeNonDisease
icd11.foundation:1008177549	MONDO:excludeNonDisease
icd11.foundation:1008188774	MONDO:excludeNonDisease
icd11.foundation:100822794	MONDO:excludeNonDisease
icd11.foundation:1008318337	MONDO:excludeNonDisease
icd11.foundation:1008325244	MONDO:excludeNonDisease
icd11.foundation:1008358017	MONDO:excludeNonDisease
icd11.foundation:1008373735	MONDO:excludeNonDisease
icd11.foundation:1008393237	MONDO:excludeNonDisease
icd11.foundation:1008450107	MONDO:excludeNonDisease
icd11.foundation:1008497766	MONDO:excludeNonDisease
icd11.foundation:1008511236	MONDO:excludeNonDisease
icd11.foundation:1008527744	MONDO:excludeNonDisease
icd11.foundation:1008603439	MONDO:excludeNonDisease
icd11.foundation:1008715211	MONDO:excludeNonDisease
icd11.foundation:1008752245	MONDO:excludeNonDisease
icd11.foundation:1008859503	MONDO:excludeNonDisease
icd11.foundation:1008925157	MONDO:excludeNonDisease
icd11.foundation:1008995974	MONDO:excludeNonDisease
icd11.foundation:1009000185	MONDO:excludeNonDisease
icd11.foundation:1009043037	MONDO:excludeNonDisease
icd11.foundation:100913680	MONDO:excludeNonDisease
icd11.foundation:1009212611	MONDO:excludeNonDisease
icd11.foundation:1009239701	MONDO:excludeNonDisease
icd11.foundation:1009316355	MONDO:excludeNonDisease
icd11.foundation:1009346137	MONDO:excludeNonDisease
icd11.foundation:1009397449	MONDO:excludeNonDisease
icd11.foundation:1009489240	MONDO:excludeNonDisease
icd11.foundation:1009522809	MONDO:excludeNonDisease
icd11.foundation:1009564010	MONDO:excludeNonDisease
icd11.foundation:1009608379	MONDO:excludeNonDisease
icd11.foundation:1009623779	MONDO:excludeNonDisease
icd11.foundation:1009671901	MONDO:excludeNonDisease
icd11.foundation:1009681308	MONDO:excludeNonDisease
icd11.foundation:1009822240	MONDO:excludeNonDisease
icd11.foundation:1009830752	MONDO:excludeNonDisease
icd11.foundation:1009925013	MONDO:excludeNonDisease
icd11.foundation:1009979503	MONDO:excludeNonDisease
icd11.foundation:1010240668	MONDO:excludeNonDisease
icd11.foundation:1010262347	MONDO:excludeNonDisease
icd11.foundation:1010435941	MONDO:excludeNonDisease
icd11.foundation:1010460612	MONDO:excludeNonDisease
icd11.foundation:1010517560	MONDO:excludeNonDisease
icd11.foundation:1010522218	MONDO:excludeNonDisease
icd11.foundation:1010528660	MONDO:excludeNonDisease
icd11.foundation:1010557195	MONDO:excludeNonDisease
icd11.foundation:1010588558	MONDO:excludeNonDisease
icd11.foundation:1010608964	MONDO:excludeNonDisease
icd11.foundation:1010624159	MONDO:excludeNonDisease
icd11.foundation:1010629124	MONDO:excludeNonDisease
icd11.foundation:1010662668	MONDO:excludeNonDisease
icd11.foundation:1010674110	MONDO:excludeNonDisease
icd11.foundation:1010820083	MONDO:excludeNonDisease
icd11.foundation:1010850924	MONDO:excludeNonDisease
icd11.foundation:1010865934	MONDO:excludeNonDisease
icd11.foundation:1010917907	MONDO:excludeNonDisease
icd11.foundation:1010976746	MONDO:excludeNonDisease
icd11.foundation:1010996579	MONDO:excludeNonDisease
icd11.foundation:101101718	MONDO:excludeNonDisease
icd11.foundation:1011081126	MONDO:excludeNonDisease
icd11.foundation:1011114217	MONDO:excludeNonDisease
