subject_id	subject_label
ICD10CM:S82.843F	Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S82.042	Displaced comminuted fracture of left patella
ICD10CM:S82.042A	Displaced comminuted fracture of left patella, initial encounter for closed fracture
ICD10CM:S82.042B	Displaced comminuted fracture of left patella, initial encounter for open fracture type I or II
ICD10CM:S82.042C	Displaced comminuted fracture of left patella, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S82.042S	Displaced comminuted fracture of left patella, sequela
ICD10CM:S82.042G	Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with delayed healing
ICD10CM:S82.042P	Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with malunion
ICD10CM:S82.042K	Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with nonunion
ICD10CM:S82.042D	Displaced comminuted fracture of left patella, subsequent encounter for closed fracture with routine healing
ICD10CM:S82.042H	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S82.042Q	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S82.042M	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S82.042E	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S82.042J	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S82.042R	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S82.042N	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S82.042F	Displaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S82.041	Displaced comminuted fracture of right patella
ICD10CM:S82.041A	Displaced comminuted fracture of right patella, initial encounter for closed fracture
ICD10CM:S82.041B	Displaced comminuted fracture of right patella, initial encounter for open fracture type I or II
ICD10CM:S82.041C	Displaced comminuted fracture of right patella, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S82.041S	Displaced comminuted fracture of right patella, sequela
ICD10CM:S82.041G	Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with delayed healing
ICD10CM:S82.041P	Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with malunion
ICD10CM:S82.041K	Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with nonunion
ICD10CM:S82.041D	Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with routine healing
ICD10CM:S82.041H	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S82.041Q	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S82.041M	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S82.041E	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S82.041J	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S82.041R	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S82.041N	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S82.041F	Displaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S42.352	Displaced comminuted fracture of shaft of humerus, left arm
ICD10CM:S42.352A	Displaced comminuted fracture of shaft of humerus, left arm, initial encounter for closed fracture
ICD10CM:S42.352B	Displaced comminuted fracture of shaft of humerus, left arm, initial encounter for open fracture
ICD10CM:S42.352S	Displaced comminuted fracture of shaft of humerus, left arm, sequela
ICD10CM:S42.352G	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
ICD10CM:S42.352P	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
ICD10CM:S42.352K	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
ICD10CM:S42.352D	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
ICD10CM:S42.351	Displaced comminuted fracture of shaft of humerus, right arm
ICD10CM:S42.351A	Displaced comminuted fracture of shaft of humerus, right arm, initial encounter for closed fracture
ICD10CM:S42.351B	Displaced comminuted fracture of shaft of humerus, right arm, initial encounter for open fracture
ICD10CM:S42.351S	Displaced comminuted fracture of shaft of humerus, right arm, sequela
ICD10CM:S42.351G	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
ICD10CM:S42.351P	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
ICD10CM:S42.351K	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
ICD10CM:S42.351D	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
ICD10CM:S42.353	Displaced comminuted fracture of shaft of humerus, unspecified arm
ICD10CM:S42.353A	Displaced comminuted fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
ICD10CM:S42.353B	Displaced comminuted fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
ICD10CM:S42.353S	Displaced comminuted fracture of shaft of humerus, unspecified arm, sequela
ICD10CM:S42.353G	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
ICD10CM:S42.353P	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
ICD10CM:S42.353K	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
ICD10CM:S42.353D	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
ICD10CM:S72.352	Displaced comminuted fracture of shaft of left femur
ICD10CM:S72.352A	Displaced comminuted fracture of shaft of left femur, initial encounter for closed fracture
ICD10CM:S72.352B	Displaced comminuted fracture of shaft of left femur, initial encounter for open fracture type I or II
ICD10CM:S72.352C	Displaced comminuted fracture of shaft of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S72.352S	Displaced comminuted fracture of shaft of left femur, sequela
ICD10CM:S72.352G	Displaced comminuted fracture of shaft of left femur, subsequent encounter for closed fracture with delayed healing
ICD10CM:S72.352P	Displaced comminuted fracture of shaft of left femur, subsequent encounter for closed fracture with malunion
ICD10CM:S72.352K	Displaced comminuted fracture of shaft of left femur, subsequent encounter for closed fracture with nonunion
ICD10CM:S72.352D	Displaced comminuted fracture of shaft of left femur, subsequent encounter for closed fracture with routine healing
ICD10CM:S72.352H	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S72.352Q	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S72.352M	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S72.352E	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S72.352J	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S72.352R	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S72.352N	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S72.352F	Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S82.452	Displaced comminuted fracture of shaft of left fibula
ICD10CM:S82.452A	Displaced comminuted fracture of shaft of left fibula, initial encounter for closed fracture
ICD10CM:S82.452B	Displaced comminuted fracture of shaft of left fibula, initial encounter for open fracture type I or II
ICD10CM:S82.452C	Displaced comminuted fracture of shaft of left fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S82.452S	Displaced comminuted fracture of shaft of left fibula, sequela
ICD10CM:S82.452G	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing
ICD10CM:S82.452P	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion
ICD10CM:S82.452K	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion
ICD10CM:S82.452D	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing
ICD10CM:S82.452H	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S82.452Q	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S82.452M	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S82.452E	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S82.452J	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S82.452R	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S82.452N	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S82.452F	Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S82.252	Displaced comminuted fracture of shaft of left tibia
ICD10CM:S82.252A	Displaced comminuted fracture of shaft of left tibia, initial encounter for closed fracture
ICD10CM:S82.252B	Displaced comminuted fracture of shaft of left tibia, initial encounter for open fracture type I or II
ICD10CM:S82.252C	Displaced comminuted fracture of shaft of left tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S82.252S	Displaced comminuted fracture of shaft of left tibia, sequela
ICD10CM:S82.252G	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with delayed healing
ICD10CM:S82.252P	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with malunion
ICD10CM:S82.252K	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with nonunion
ICD10CM:S82.252D	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with routine healing
ICD10CM:S82.252H	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S82.252Q	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S82.252M	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S82.252E	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S82.252J	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S82.252R	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S82.252N	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S82.252F	Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S52.352	Displaced comminuted fracture of shaft of radius, left arm
ICD10CM:S52.352A	Displaced comminuted fracture of shaft of radius, left arm, initial encounter for closed fracture
ICD10CM:S52.352B	Displaced comminuted fracture of shaft of radius, left arm, initial encounter for open fracture type I or II
ICD10CM:S52.352C	Displaced comminuted fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S52.352S	Displaced comminuted fracture of shaft of radius, left arm, sequela
ICD10CM:S52.352G	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing
ICD10CM:S52.352P	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion
ICD10CM:S52.352K	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion
ICD10CM:S52.352D	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing
ICD10CM:S52.352H	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S52.352Q	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S52.352M	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S52.352E	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S52.352J	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S52.352R	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S52.352N	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S52.352F	Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S52.351	Displaced comminuted fracture of shaft of radius, right arm
ICD10CM:S52.351A	Displaced comminuted fracture of shaft of radius, right arm, initial encounter for closed fracture
ICD10CM:S52.351B	Displaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type I or II
ICD10CM:S52.351C	Displaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S52.351S	Displaced comminuted fracture of shaft of radius, right arm, sequela
ICD10CM:S52.351G	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing
ICD10CM:S52.351P	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion
ICD10CM:S52.351K	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion
ICD10CM:S52.351D	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing
ICD10CM:S52.351H	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S52.351Q	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S52.351M	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S52.351E	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S52.351J	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S52.351R	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S52.351N	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S52.351F	Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S52.353	Displaced comminuted fracture of shaft of radius, unspecified arm
ICD10CM:S52.353A	Displaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for closed fracture
ICD10CM:S52.353B	Displaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for open fracture type I or II
ICD10CM:S52.353C	Displaced comminuted fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S52.353S	Displaced comminuted fracture of shaft of radius, unspecified arm, sequela
ICD10CM:S52.353G	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing
ICD10CM:S52.353P	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion
ICD10CM:S52.353K	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion
ICD10CM:S52.353D	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing
ICD10CM:S52.353H	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S52.353Q	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S52.353M	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S52.353E	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S52.353J	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S52.353R	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S52.353N	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S52.353F	Displaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S72.351	Displaced comminuted fracture of shaft of right femur
ICD10CM:S72.351A	Displaced comminuted fracture of shaft of right femur, initial encounter for closed fracture
ICD10CM:S72.351B	Displaced comminuted fracture of shaft of right femur, initial encounter for open fracture type I or II
ICD10CM:S72.351C	Displaced comminuted fracture of shaft of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S72.351S	Displaced comminuted fracture of shaft of right femur, sequela
ICD10CM:S72.351G	Displaced comminuted fracture of shaft of right femur, subsequent encounter for closed fracture with delayed healing
ICD10CM:S72.351P	Displaced comminuted fracture of shaft of right femur, subsequent encounter for closed fracture with malunion
ICD10CM:S72.351K	Displaced comminuted fracture of shaft of right femur, subsequent encounter for closed fracture with nonunion
ICD10CM:S72.351D	Displaced comminuted fracture of shaft of right femur, subsequent encounter for closed fracture with routine healing
ICD10CM:S72.351H	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S72.351Q	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S72.351M	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S72.351E	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S72.351J	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S72.351R	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S72.351N	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S72.351F	Displaced comminuted fracture of shaft of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S82.451	Displaced comminuted fracture of shaft of right fibula
ICD10CM:S82.451A	Displaced comminuted fracture of shaft of right fibula, initial encounter for closed fracture
ICD10CM:S82.451B	Displaced comminuted fracture of shaft of right fibula, initial encounter for open fracture type I or II
ICD10CM:S82.451C	Displaced comminuted fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S82.451S	Displaced comminuted fracture of shaft of right fibula, sequela
ICD10CM:S82.451G	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing
ICD10CM:S82.451P	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion
ICD10CM:S82.451K	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion
ICD10CM:S82.451D	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing
ICD10CM:S82.451H	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S82.451Q	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S82.451M	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S82.451E	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S82.451J	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S82.451R	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S82.451N	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S82.451F	Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S82.251	Displaced comminuted fracture of shaft of right tibia
ICD10CM:S82.251A	Displaced comminuted fracture of shaft of right tibia, initial encounter for closed fracture
ICD10CM:S82.251B	Displaced comminuted fracture of shaft of right tibia, initial encounter for open fracture type I or II
ICD10CM:S82.251C	Displaced comminuted fracture of shaft of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S82.251S	Displaced comminuted fracture of shaft of right tibia, sequela
ICD10CM:S82.251G	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for closed fracture with delayed healing
ICD10CM:S82.251P	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for closed fracture with malunion
ICD10CM:S82.251K	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for closed fracture with nonunion
ICD10CM:S82.251D	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for closed fracture with routine healing
ICD10CM:S82.251H	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S82.251Q	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S82.251M	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S82.251E	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S82.251J	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S82.251R	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S82.251N	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S82.251F	Displaced comminuted fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S52.252	Displaced comminuted fracture of shaft of ulna, left arm
ICD10CM:S52.252A	Displaced comminuted fracture of shaft of ulna, left arm, initial encounter for closed fracture
ICD10CM:S52.252B	Displaced comminuted fracture of shaft of ulna, left arm, initial encounter for open fracture type I or II
ICD10CM:S52.252C	Displaced comminuted fracture of shaft of ulna, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S52.252S	Displaced comminuted fracture of shaft of ulna, left arm, sequela
ICD10CM:S52.252G	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with delayed healing
ICD10CM:S52.252P	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with malunion
ICD10CM:S52.252K	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with nonunion
ICD10CM:S52.252D	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with routine healing
ICD10CM:S52.252H	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S52.252Q	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S52.252M	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S52.252E	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S52.252J	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S52.252R	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S52.252N	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S52.252F	Displaced comminuted fracture of shaft of ulna, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S52.251	Displaced comminuted fracture of shaft of ulna, right arm
ICD10CM:S52.251A	Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for closed fracture
ICD10CM:S52.251B	Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type I or II
ICD10CM:S52.251C	Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S52.251S	Displaced comminuted fracture of shaft of ulna, right arm, sequela
ICD10CM:S52.251G	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for closed fracture with delayed healing
ICD10CM:S52.251P	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for closed fracture with malunion
ICD10CM:S52.251K	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for closed fracture with nonunion
ICD10CM:S52.251D	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for closed fracture with routine healing
ICD10CM:S52.251H	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type I or II with delayed healing
ICD10CM:S52.251Q	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type I or II with malunion
ICD10CM:S52.251M	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type I or II with nonunion
ICD10CM:S52.251E	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type I or II with routine healing
ICD10CM:S52.251J	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing
ICD10CM:S52.251R	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion
ICD10CM:S52.251N	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion
ICD10CM:S52.251F	Displaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing
ICD10CM:S52.253	Displaced comminuted fracture of shaft of ulna, unspecified arm
ICD10CM:S52.253A	Displaced comminuted fracture of shaft of ulna, unspecified arm, initial encounter for closed fracture
ICD10CM:S52.253B	Displaced comminuted fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II
ICD10CM:S52.253C	Displaced comminuted fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC
ICD10CM:S52.253S	Displaced comminuted fracture of shaft of ulna, unspecified arm, sequela
ICD10CM:S52.253G	Displaced comminuted fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with delayed healing
ICD10CM:S52.253P	Displaced comminuted fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with malunion
ICD10CM:S52.253K	Displaced comminuted fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with nonunion
ICD10CM:S52.253D	Displaced comminuted fracture of shaft of ulna, unspecified arm, subsequent encounter for closed fracture with routine healing
