subject_id	subject_label
ICD10CM:S42.231D	3-part fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing
ICD10CM:S42.239	3-part fracture of surgical neck of unspecified humerus
ICD10CM:S42.239A	3-part fracture of surgical neck of unspecified humerus, initial encounter for closed fracture
ICD10CM:S42.239B	3-part fracture of surgical neck of unspecified humerus, initial encounter for open fracture
ICD10CM:S42.239S	3-part fracture of surgical neck of unspecified humerus, sequela
ICD10CM:S42.239G	3-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with delayed healing
ICD10CM:S42.239P	3-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with malunion
ICD10CM:S42.239K	3-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with nonunion
ICD10CM:S42.239D	3-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing
ICD10CM:S42.24	4-part fracture of surgical neck of humerus
ICD10CM:S42.242	4-part fracture of surgical neck of left humerus
ICD10CM:S42.242A	4-part fracture of surgical neck of left humerus, initial encounter for closed fracture
ICD10CM:S42.242B	4-part fracture of surgical neck of left humerus, initial encounter for open fracture
ICD10CM:S42.242S	4-part fracture of surgical neck of left humerus, sequela
ICD10CM:S42.242G	4-part fracture of surgical neck of left humerus, subsequent encounter for fracture with delayed healing
ICD10CM:S42.242P	4-part fracture of surgical neck of left humerus, subsequent encounter for fracture with malunion
ICD10CM:S42.242K	4-part fracture of surgical neck of left humerus, subsequent encounter for fracture with nonunion
ICD10CM:S42.242D	4-part fracture of surgical neck of left humerus, subsequent encounter for fracture with routine healing
ICD10CM:S42.241	4-part fracture of surgical neck of right humerus
ICD10CM:S42.241A	4-part fracture of surgical neck of right humerus, initial encounter for closed fracture
ICD10CM:S42.241B	4-part fracture of surgical neck of right humerus, initial encounter for open fracture
ICD10CM:S42.241S	4-part fracture of surgical neck of right humerus, sequela
ICD10CM:S42.241G	4-part fracture of surgical neck of right humerus, subsequent encounter for fracture with delayed healing
ICD10CM:S42.241P	4-part fracture of surgical neck of right humerus, subsequent encounter for fracture with malunion
ICD10CM:S42.241K	4-part fracture of surgical neck of right humerus, subsequent encounter for fracture with nonunion
ICD10CM:S42.241D	4-part fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing
ICD10CM:S42.249	4-part fracture of surgical neck of unspecified humerus
ICD10CM:S42.249A	4-part fracture of surgical neck of unspecified humerus, initial encounter for closed fracture
ICD10CM:S42.249B	4-part fracture of surgical neck of unspecified humerus, initial encounter for open fracture
ICD10CM:S42.249S	4-part fracture of surgical neck of unspecified humerus, sequela
ICD10CM:S42.249G	4-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with delayed healing
ICD10CM:S42.249P	4-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with malunion
ICD10CM:S42.249K	4-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with nonunion
ICD10CM:S42.249D	4-part fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with routine healing
ICD10CM:Q99.1	46, XX true hermaphrodite
ICD10CM:T80.3	ABO incompatibility reaction due to transfusion of blood or blood products
ICD10CM:T80.30	ABO incompatibility reaction due to transfusion of blood or blood products, unspecified
ICD10CM:T80.30XA	ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter
ICD10CM:T80.30XS	ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, sequela
ICD10CM:T80.30XD	ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter
ICD10CM:T80.310	ABO incompatibility with acute hemolytic transfusion reaction
ICD10CM:T80.310A	ABO incompatibility with acute hemolytic transfusion reaction, initial encounter
ICD10CM:T80.310S	ABO incompatibility with acute hemolytic transfusion reaction, sequela
ICD10CM:T80.310D	ABO incompatibility with acute hemolytic transfusion reaction, subsequent encounter
ICD10CM:T80.311	ABO incompatibility with delayed hemolytic transfusion reaction
ICD10CM:T80.311A	ABO incompatibility with delayed hemolytic transfusion reaction, initial encounter
ICD10CM:T80.311S	ABO incompatibility with delayed hemolytic transfusion reaction, sequela
ICD10CM:T80.311D	ABO incompatibility with delayed hemolytic transfusion reaction, subsequent encounter
ICD10CM:T80.31	ABO incompatibility with hemolytic transfusion reaction
ICD10CM:T80.319	ABO incompatibility with hemolytic transfusion reaction, unspecified
ICD10CM:T80.319A	ABO incompatibility with hemolytic transfusion reaction, unspecified, initial encounter
ICD10CM:T80.319S	ABO incompatibility with hemolytic transfusion reaction, unspecified, sequela
ICD10CM:T80.319D	ABO incompatibility with hemolytic transfusion reaction, unspecified, subsequent encounter
ICD10CM:P55.1	ABO isoimmunization of newborn
ICD10CM:A42.1	Abdominal actinomycosis
ICD10CM:I71.3	Abdominal aortic aneurysm, ruptured
ICD10CM:I71.30	Abdominal aortic aneurysm, ruptured, unspecified
ICD10CM:I71.4	Abdominal aortic aneurysm, without rupture
ICD10CM:I71.40	Abdominal aortic aneurysm, without rupture, unspecified
ICD10CM:I77.811	Abdominal aortic ectasia
ICD10CM:G43.D	Abdominal migraine
ICD10CM:G43.D1	Abdominal migraine, intractable
ICD10CM:G43.D0	Abdominal migraine, not intractable
ICD10CM:Q53.21	Abdominal testis, bilateral
ICD10CM:Q53.11	Abdominal testis, unilateral
ICD10CM:O28.1	Abnormal biochemical finding on antenatal screening of mother
ICD10CM:O28.5	Abnormal chromosomal and genetic finding on antenatal screening of mother
ICD10CM:O28.2	Abnormal cytological finding on antenatal screening of mother
