class,exact_match
http://purl.obolibrary.org/obo/MONDO_0013733,https://omim.org/entry/614401
http://purl.obolibrary.org/obo/MONDO_0019748,http://www.orpha.net/ORDO/Orphanet_93618
http://purl.obolibrary.org/obo/MONDO_0007139,https://omim.org/entry/107290
http://purl.obolibrary.org/obo/MONDO_0044256,https://omim.org/entry/227240
http://purl.obolibrary.org/obo/MONDO_0019711,http://purl.obolibrary.org/obo/mondo/sources/icd11foundation/395969787
http://purl.obolibrary.org/obo/MONDO_0019711,http://www.orpha.net/ORDO/Orphanet_93454
http://purl.obolibrary.org/obo/MONDO_0009995,https://omim.org/entry/268240
http://purl.obolibrary.org/obo/MONDO_0017629,http://www.orpha.net/ORDO/Orphanet_306577
http://purl.obolibrary.org/obo/MONDO_0018652,http://www.orpha.net/ORDO/Orphanet_447874
http://purl.obolibrary.org/obo/MONDO_0015936,http://www.orpha.net/ORDO/Orphanet_182130
http://purl.obolibrary.org/obo/MONDO_0017142,http://www.orpha.net/ORDO/Orphanet_275736
http://purl.obolibrary.org/obo/MONDO_0015133,http://www.orpha.net/ORDO/Orphanet_101985
http://purl.obolibrary.org/obo/MONDO_0018120,http://www.orpha.net/ORDO/Orphanet_352312
http://purl.obolibrary.org/obo/MONDO_0020595,http://purl.obolibrary.org/obo/NCIT_C27667
http://purl.obolibrary.org/obo/MONDO_0020595,http://identifiers.org/snomedct/734045002
http://purl.obolibrary.org/obo/MONDO_0034443,http://www.orpha.net/ORDO/Orphanet_485382
http://purl.obolibrary.org/obo/MONDO_0016110,http://purl.obolibrary.org/obo/NCIT_C122787
http://purl.obolibrary.org/obo/MONDO_0016110,http://identifiers.org/snomedct/424795008
http://purl.obolibrary.org/obo/MONDO_0016110,http://www.orpha.net/ORDO/Orphanet_206656
http://purl.obolibrary.org/obo/MONDO_0020063,http://www.orpha.net/ORDO/Orphanet_98196
http://purl.obolibrary.org/obo/MONDO_0001500,http://purl.obolibrary.org/obo/DOID_1234
http://purl.obolibrary.org/obo/MONDO_0001500,http://www.ebi.ac.uk/efo/EFO_0008587
http://purl.obolibrary.org/obo/MONDO_0001500,http://identifiers.org/snomedct/87991007
http://purl.obolibrary.org/obo/MONDO_0001500,http://purl.obolibrary.org/obo/NCIT_C94362
http://purl.obolibrary.org/obo/MONDO_0044228,https://omim.org/entry/130190
http://purl.obolibrary.org/obo/MONDO_0017976,http://www.orpha.net/ORDO/Orphanet_325620
http://purl.obolibrary.org/obo/MONDO_0001589,http://identifiers.org/snomedct/398061002
http://purl.obolibrary.org/obo/MONDO_0001589,http://purl.obolibrary.org/obo/DOID_1283
http://purl.obolibrary.org/obo/MONDO_0017494,http://www.orpha.net/ORDO/Orphanet_295085
http://purl.obolibrary.org/obo/MONDO_0015485,http://www.orpha.net/ORDO/Orphanet_156005
http://purl.obolibrary.org/obo/MONDO_0005290,http://purl.obolibrary.org/obo/NCIT_C118318
http://purl.obolibrary.org/obo/MONDO_0005290,http://identifiers.org/snomedct/240131006
http://purl.obolibrary.org/obo/MONDO_0005290,http://identifiers.org/mesh/D012206
http://purl.obolibrary.org/obo/MONDO_0032013,http://www.orpha.net/ORDO/Orphanet_377792
http://purl.obolibrary.org/obo/MONDO_0008406,http://www.orpha.net/ORDO/Orphanet_98855
http://purl.obolibrary.org/obo/MONDO_0013586,https://omim.org/entry/614122
http://purl.obolibrary.org/obo/MONDO_0800090,http://www.orpha.net/ORDO/Orphanet_498477
http://purl.obolibrary.org/obo/MONDO_0020234,http://www.orpha.net/ORDO/Orphanet_98650
http://purl.obolibrary.org/obo/MONDO_0018401,http://www.orpha.net/ORDO/Orphanet_399853
http://purl.obolibrary.org/obo/MONDO_0031697,http://www.orpha.net/ORDO/Orphanet_363300
http://purl.obolibrary.org/obo/MONDO_0020346,http://www.orpha.net/ORDO/Orphanet_98915
http://purl.obolibrary.org/obo/MONDO_0015890,http://www.orpha.net/ORDO/Orphanet_181387
http://purl.obolibrary.org/obo/MONDO_0008190,https://omim.org/entry/167959
http://purl.obolibrary.org/obo/MONDO_0024646,http://purl.obolibrary.org/obo/NCIT_C39752
http://purl.obolibrary.org/obo/MONDO_0015656,http://www.orpha.net/ORDO/Orphanet_166481
http://purl.obolibrary.org/obo/MONDO_0002053,http://purl.obolibrary.org/obo/DOID_1607
http://purl.obolibrary.org/obo/MONDO_0002053,http://identifiers.org/snomedct/267384006
http://purl.obolibrary.org/obo/MONDO_0034980,http://www.orpha.net/ORDO/Orphanet_519402
http://purl.obolibrary.org/obo/MONDO_0034980,http://purl.obolibrary.org/obo/mondo/sources/icd11foundation/1410300100
http://purl.obolibrary.org/obo/MONDO_0007264,http://identifiers.org/snomedct/95281009
http://purl.obolibrary.org/obo/MONDO_0020198,http://www.orpha.net/ORDO/Orphanet_98610
http://purl.obolibrary.org/obo/MONDO_8000030,http://www.orpha.net/ORDO/Orphanet_377791
http://purl.obolibrary.org/obo/MONDO_0020271,http://www.orpha.net/ORDO/Orphanet_98701
http://purl.obolibrary.org/obo/MONDO_0018284,http://www.orpha.net/ORDO/Orphanet_371047
http://purl.obolibrary.org/obo/MONDO_0015081,http://www.orpha.net/ORDO/Orphanet_100101
http://purl.obolibrary.org/obo/MONDO_0017040,http://www.orpha.net/ORDO/Orphanet_264984
http://purl.obolibrary.org/obo/MONDO_0015861,http://www.orpha.net/ORDO/Orphanet_180220
http://purl.obolibrary.org/obo/MONDO_0016157,http://www.orpha.net/ORDO/Orphanet_207122
http://purl.obolibrary.org/obo/MONDO_0015959,http://www.orpha.net/ORDO/Orphanet_183527
http://purl.obolibrary.org/obo/MONDO_0017150,http://www.orpha.net/ORDO/Orphanet_275791
http://purl.obolibrary.org/obo/MONDO_0020059,http://www.orpha.net/ORDO/Orphanet_98156
http://purl.obolibrary.org/obo/MONDO_0017262,http://www.orpha.net/ORDO/Orphanet_281082
http://purl.obolibrary.org/obo/MONDO_0017262,http://purl.obolibrary.org/obo/mondo/sources/icd11foundation/213831678
http://purl.obolibrary.org/obo/MONDO_0005049,http://identifiers.org/mesh/D020300
http://purl.obolibrary.org/obo/MONDO_0008110,https://omim.org/entry/164190
http://purl.obolibrary.org/obo/MONDO_0015922,http://www.orpha.net/ORDO/Orphanet_182083
http://purl.obolibrary.org/obo/MONDO_0015582,http://www.orpha.net/ORDO/Orphanet_163637
http://purl.obolibrary.org/obo/MONDO_0020221,http://www.orpha.net/ORDO/Orphanet_98637
